objectid,filename,title,subject,description,creator,source,publisher,date,contributor,rights,format,language,type,iIdentifier,coverage,alternative_title,date_created,access_rights,license,references,medium,bibliographic _citation,spatial_coverage,temporal_coverage,provenance,,,ilustrator,pueblo,ciudad,provincia,lugar,fecha,latitud,longitud,notas
juncosa_010a,juncosa_010a.jpg,Antonio Maceo and General Maximo Gomez defeat by Cirujeda,,"The card depicts the deaths of  Cuban Generals Antonio Maceo Grajales and Maximo Gomez at the hands of Spanish colonel Cirujeda. Cirujeda was in charge of the
security in the military zone of Marianao (Havana Province).",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,"Punta Brava, Havana Province,Cuba",,,,,,Punta Brava,Habana,Habana ,,12/07/1896,,,"This is historically innacurate. Antonio Maceo and Maximo Gomez died in different dates and places. Maceo was killed on December 7,1896 and that Maximo Gomez died on June 17, 1905."
juncosa_011a,juncosa_011a.jpg,General Ruis Rivera wounded and captured,,The stamp describes the combat in which General Rius Rivera was wounded and captured in Las Villas military campaign.,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_012a,juncosa_012a.jpg,Valeriano Weyler,,"General Valeriano Weyler, General Governor of Cuba and General in Chief of the Spanish Army supervising the military operations against General Maximo Gomez",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_013a,juncosa_013a.jpg,"Sapnish Ship "" Philippines""",," The Spanish ship  ""Philippines"" sinking a rebel steamboat",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_014a,juncosa_014a.jpg,Defend of San Jose de las Lajas,,The stamp describes the defense of the town San Jose de las Lajas by the Spanish forces ,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,San Jose ,,Habana ,,,22.95483438,-82.15413106,"Actualmente San Jose de las Lajas, provincia habana"
juncosa_015a,juncosa_015a.jpg,Cauto river crossing,,The stamp describes a military Spanish convoy crossing the Cauto river in the vicinity of the Bayamo city,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,Bayamo,Bayamo,Antigua provincia de Oriente,,,20.36034609,-76.64390943,
juncosa_016a,juncosa_016a.jpg,Spanirs troops in Cuba,,"
The stamp describes a corp of volunteers from the Spanish army exploring the Cuban jungle.",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_017a,juncosa_017a.jpg,Sapniers troops camping,, The Spanish army camping near the Hills of Riscadero (near the town of Madruga in Havana province),Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,,,Habana ,,,22.97400603,-82.2992695,
juncosa_018a,juncosa_018a.jpg,Treviño ttroops vs General Juan Bruno Zayas,,  The cavalry troops of Spanish officer Treviño defeats the troops of Cuban General Juan Bruno Zayas.,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_019a,juncosa_019a.jpg,Aranjuren killed,,"
The Cuban rebel leader Aranguren is injured and killed. ",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,"Aranguren died when he was transferred along with other prisoners from
Campo Florido to Tapaste (Havana Province)"
juncosa_020a,juncosa_020a.jpg,Sapnish troops at sugar cane platations,,Spanish troops patrol sugar cane harvest operations ,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_021a,juncosa_021a.jpg,Maximo Gomez base camp,,Military camp of General Mambi Maximo Gomez.,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_022a,juncosa_022a.jpg,Bartolome Maso  and General Castellano,,"Bartolomé Maso appears before the Spanish General Castellanos, accepting a pardon issued by the Spanish Government ",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_023a,juncosa_023a.jpg,General Blanco at steamship,,The Spanish General Blanco sails to Matanzas in the steamship Villaverde,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,,Matanzas,Occidente ,,,23.04324797,-81.56361454,
juncosa_024a,juncosa_024a.jpg,Train bloww up by Mambises,,A Spanish convoy train is blown up by Calixto Garcia's troops,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_025a,juncosa_025a.jpg,Red Croos ambulance,,A Red Cross ambulance attends the wounded in the fields.,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_026a,juncosa_026a.jpg,Mambises Headquartes,,Headquartes of the Cuban Government in Arms,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_027a,juncosa_027a.jpg,General Velasco persecuted mambises troops,,The mambi army is persecuted by the troops of the Spanish General Velasco,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_028a,juncosa_028a.jpg,Colonel Gelpi,,Colonel Gelpi breaks trhrough the so-called  free fields of Cuba,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,,,,,,,,,
juncosa_029a,juncosa_029a.jpg,USS Maine explosin,,The stamp depicts the controversial explosion of the battleship USS Maine in the port of Havana,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,,La Habana,,,,20.02530031,-75.82438057,
juncosa_030a,juncosa_030a.jpg,American fleet repeal from Matanzas port,,Part of the American fleet in the Cuban-American War is turned away in the port of Matanzas,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,,Matanzas ,Occidente,,,23.04387983,-81.55983799,
juncosa_031a,juncosa_031a.jpg,Spanish fleet ,,The Spanish fleet enters Santiago de Cuba's bay,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,,Santiago de Cuba,,Antigua provincia de Oriente,,20.00496713,-75.86447618,
juncosa_032a,juncosa_032a.jpg,Merry-Mac sunken,,The Merry-Mac ship is sunken in the bay of Santiago de Cuba,Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,,Santiago de Cuba,,Antigua provincia de Oriente,,20.00496713,-75.96447618,
juncosa_033a,juncosa_033a.jpg,American disembark at Caimaneras,,"The American navy tries to disembark in Caimanera, the coast of Guantanamo",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,Caimanera,Guantanamo ,,Antigua provincia de Oriente,,19.99491698,-75.15474998,
juncosa_034a,juncosa_034a.jpg,Cabo Haitiano,,"An American landing is rejected in Cabo Haitiano, Haiti",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,Cabo Haitiano ,,,Haiti ,,19.76643994,-72.2020627,This is not in Cuba. It is in Haiti.
juncosa_035a,juncosa_035a.jpg,Socapa battery,,"The battery of Socapa, in the bay of Santiago de Cuba rejecting the American ships ",Chocolates E. Juncosa (Firm),BENSON-MS Miscellaneous Manuscripts 315,Chocolates E. Juncosa (Firm),Circa 1910,"Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin","In the public domain. When used please cite as: Chocolates E. Juncosa Trade Cards (Ms. #315), Nettie Lee Benson Latin American Collection, University of Texas Libraries, The University of Texas at Austin.",image/jpeg,Spanish,Chromo Trade Cards,Ms. #315,19th Century Cuba,,,,,,,,,,,,,R.C,La Socapa ,Santiago de Cuba,,Antigua provincia de Oriente,,19.97275596,-75.87382122,
muertemaceo,muertemaceo.jpeg,Death of General Antonio Maceo,,General Antonio Maceo's death in combat painted by Cuban Artist and independence fighter Armando Garcia Menocal,Armando Garcia Menocal(1863-1942),,Armando Garcia Menocal,Circa1906-1908,"Museo Nacional de Bellas Artes, La Habana,Cuba","In the public domain. When used please cite as:“La muerte de Maceo”.1906, Wikimedia Commons, https://es.m.wikipedia.org/wiki/Archivo:Armando_Menocal_1.jpg
",image/jpeg,Spanish,Oil on Canvas,,19th/20th Centuries Cuba,,,,,,Painting,"“La muerte de Maceo”.1906, Wikimedia Commons, https://es.m.wikipedia.org/wiki/Archivo:Armando_Menocal_1.jpg","La Habana, Cuba",1896,,,,,,,,,,,,
congresswar,congresswar.jpg,N.Y JOURNAL,,"Front page of the New York evening journal anouncing Congress' declaration of war on April 25, 1898","New York [N.Y.] : W.R. Hearst, -1909.",Newspaper-sn86071545 Library of Congress,"New York [N.Y.] : W.R. Hearst, -1909.",1898,"Library of Congress
","In the public domain. When used please cite as: New York Evening Journal New York N.Y. -1909. (New York, NY) 1 Jan. 1897. Retrieved from the Library of Congress, www.loc.gov/item/sn86071545/.",image/jpeg,English,Newspaper,sn86071545,19th Century United States-Newspapers,,,,,,Newspapers,"New York Evening Journal New York N.Y. -1909. (New York, NY) 1 Jan. 1897. Retrieved from the Library of Congress, www.loc.gov/item/sn86071545/.","New York State, United States",1898,,,,,,,,,,,,
